patientid,statusid,name,description,staffid,datein,dateout,time_in,time_out,time_duration,census_reason_id,census_reason_txt,reason_txt,display_id
11837,3,Bella,Sick,19,10/18/2022 10:29:58,10/18/2022 10:56:15,10:29,10:56,27 m,,check growths,,MPV
11837,3,Bella,Quality of Life,16,1/4/2023 15:37:21,1/4/2023 16:08:29,15:37,16:08,31 m,,lumps getting larger,,MPV
11837,3,Bella,Sick,6,3/30/2023 14:31:29,3/30/2023 15:08:53,14:31,15:08,37 m,,unsteady on feet,,MPV
11837,3,Bella,Euthanasia,6,5/30/2023 17:57:07,5/30/2023 18:49:39,17:57,18:49,52 m,,,,MPV
31584,1,Finnegan (Finn),New Client,11,2/22/2023 14:15:33,2/22/2023 14:58:31,14:15,14:58,43 m,,hot spot,,MPV
5917,1,Harley,Preventative Care Exam,6,8/5/2022 16:47:36,8/5/2022 17:09:19,16:47,17:09,22 m,,,,MPV
5917,1,Harley,TNT,TK,10/14/2022 16:40:10,10/14/2022 17:00:37,16:40,17:00,20 m,,Bord,,MPV
19400-1,3,Ice Cream,Sick,16,11/16/2022 16:21:33,11/16/2022 17:22:29,16:21,17:22,1 h 1 m,,eating but getting thin,,MPV
19400-1,3,Ice Cream,Euthanasia,16,11/30/2022 16:56:24,11/30/2022 17:51:29,16:56,17:51,55 m,,,,MPV
5917,1,Harley,TNT,TK,12/28/2022 9:43:26,12/28/2022 9:54:39,9:43,9:54,11 m,,,,MPV
5917,1,Harley,TNT,TK,2/8/2023 16:19:53,2/8/2023 16:28:41,16:19,16:28,9 m,,,,MPV
5917,1,Harley,TNT,TK,4/21/2023 16:12:30,4/21/2023 16:24:13,16:12,16:24,12 m,,,,MPV
5917,1,Harley,TNT,TK,7/7/2023 16:22:05,7/7/2023 16:35:52,16:22,16:35,13 m,,,,MPV
20353,1,Cosmic Decimator,Preventative Care Exam,11,9/28/2022 14:33:51,9/28/2022 14:54:15,14:33,14:54,21 m,,,,MPV
20453,1,Ralph,Preventative Care Exam,11,10/5/2022 14:50:39,10/5/2022 15:34:32,14:50,15:34,44 m,,,,MPV
1375-1,1,Delilah,Senior Exam,19,5/9/2023 15:23:03,5/9/2023 16:14:35,15:23,16:14,51 m,,,,MPV
1375-1,1,Delilah,Sick,19,6/7/2023 10:16:26,6/7/2023 10:39:21,10:16,10:39,23 m,,diarrhea,,MPV
17764,1,Penny,Preventative Care Exam,6,2/28/2023 11:49:24,2/28/2023 12:11:38,11:49,12:11,22 m,,,,MPV
30237,1,Brody,New Client,19,11/14/2022 10:02:24,11/14/2022 10:58:59,10:02,10:58,56 m,,,,MPV
30237,1,Brody,Dental,19,1/17/2023 7:20:51,1/17/2023 18:10:11,7:20,18:10,10 h 50 m,,Extractions,,MPV
30237,1,Brody,TNT,M11,7/11/2023 15:56:21,7/11/2023 16:02:35,15:56,16:02,6 m,,,,MET
4952,1,Binky,Sick,6,3/28/2023 13:08:52,3/28/2023 13:31:59,13:08,13:31,23 m,,diarrhea,,MPV
4952,1,Binky,Technician Appointment,M11,5/23/2023 14:11:38,5/23/2023 14:25:21,14:11,14:25,14 m,,T4 test to check levels,,MET
25074,1,Sadie,Sick,16,10/7/2022 16:24:18,10/7/2022 17:03:20,16:24,17:03,39 m,,bump on lip,,MPV
7114,1,Bo,Emergency,19,2/11/2023 9:59:11,2/11/2023 10:50:02,9:59,10:50,51 m,,,,MPV
25074,1,Sadie,Preventative Care Exam,16,4/5/2023 16:59:37,4/5/2023 18:08:14,16:59,18:08,1 h 9 m,,,,MPV
7114,1,Bo,Preventative Care Exam,11,5/22/2023 13:22:04,5/22/2023 13:41:25,13:22,13:41,19 m,,,,MPV
19674,1,Miso,Preventative Care Exam,19,8/9/2022 9:11:52,8/9/2022 9:36:25,9:11,9:36,25 m,,,,MPV
19674,1,Miso,Sick,16,11/1/2022 14:43:06,11/1/2022 15:03:48,14:43,15:03,20 m,,,,MPV
19674,1,Miso,Preventative Care Exam,4,7/20/2023 8:48:42,7/20/2023 9:14:06,8:48,9:14,26 m,,,,MPV
14736,1,Millie,TNT,L12,9/12/2022 17:50:59,9/12/2022 18:08:39,17:50,18:08,18 m,,,,LVH
14736,1,Millie,Technician Appointment,L16,10/24/2022 16:31:17,10/24/2022 16:55:55,16:31,16:55,24 m,,,,LVH
14736,1,Millie,Technician Appointment,L19,12/30/2022 15:05:11,12/30/2022 15:12:41,15:05,15:12,7 m,,"Cytopoint, NT & AG",,LVH
14736,1,Millie,Sick,L19,2/3/2023 14:47:37,2/3/2023 15:21:51,14:47,15:21,34 m,,,,LVH
14736,1,Millie,TNT,L12,2/28/2023 16:31:35,2/28/2023 16:33:14,16:31,16:33,2 m,,,,LVH
14736,1,Millie,Preventative Care Exam,L16,5/2/2023 16:15:43,5/2/2023 17:03:16,16:15,17:03,48 m,,Exam & vaccs,,LVH
14736,1,Millie,Sick,6,5/19/2023 17:04:06,5/19/2023 17:35:14,17:04,17:35,31 m,,"Vomiting, painful back?",,MPV
14736,1,Millie,Recheck,M19,7/17/2023 12:24:04,7/17/2023 12:51:57,12:24,12:51,27 m,,recheck from surgery,,MET
17774,3,Ollie,TNT,L11,8/18/2022 9:06:04,8/18/2022 9:16:32,9:06,9:16,10 m,,,,LVH
17773,1,Lola,TNT,L11,8/18/2022 9:06:08,8/18/2022 9:16:32,9:06,9:16,10 m,,,,LVH
17774,3,Ollie,Technician Appointment,L12,9/6/2022 9:55:26,9/6/2022 10:00:33,9:55,10:00,5 m,,,,LVH
17773,1,Lola,TNT,L12,11/3/2022 12:57:27,11/3/2022 13:01:35,12:57,13:01,4 m,,,,LVH
17774,3,Ollie,TNT,L12,11/3/2022 12:57:39,11/3/2022 13:01:35,12:57,13:01,4 m,,,,LVH
17774,3,Ollie,Technician Appointment,L12,12/15/2022 11:04:51,12/15/2022 11:25:51,11:04,11:25,21 m,,,,LVH
17773,1,Lola,Sick,L12,12/15/2022 11:05:08,12/15/2022 11:25:51,11:05,11:25,20 m,,,,LVH
17774,3,Ollie,Sick,L19,1/18/2023 15:02:53,1/18/2023 15:34:38,15:02,15:34,32 m,,not lifting head,,LVH
17773,1,Lola,Technician Appointment,L19,1/18/2023 15:03:10,1/18/2023 15:34:38,15:03,15:34,31 m,,TNT and anal glands,,LVH
17774,3,Ollie,Recheck,L12,1/26/2023 10:24:35,1/26/2023 10:50:56,10:24,10:50,26 m,,,,LVH
17774,3,Ollie,Preventative Care Exam,L12,2/14/2023 9:46:42,2/14/2023 10:34:26,9:46,10:34,48 m,,,,LVH
17773,1,Lola,Preventative Care Exam,L12,2/14/2023 9:46:59,2/14/2023 10:36:03,9:46,10:36,50 m,,,,LVH
17774,3,Ollie,Lab Work,L16,2/20/2023 8:51:26,2/20/2023 9:20:05,8:51,9:20,29 m,,"re-draw bw, lab error",,LVH
17773,1,Lola,Lab Work,L12,3/2/2023 10:00:07,3/2/2023 10:23:31,10:00,10:23,23 m,,,,LVH
17774,3,Ollie,Recheck,L12,3/2/2023 10:00:21,3/2/2023 10:23:31,10:00,10:23,23 m,,,,LVH
17773,1,Lola,Technician Appointment,L12,3/9/2023 8:22:59,3/9/2023 8:30:05,8:22,8:30,8 m,,urine collection,,LVH
17774,3,Ollie,Quality of Life,19,3/11/2023 12:40:26,3/11/2023 13:03:58,12:40,13:03,23 m,,,,MPV
17773,1,Lola,TNT,L12,3/28/2023 11:07:21,3/28/2023 11:08:43,11:07,11:08,1 m,,,,LVH
17773,1,Lola,Sick,19,5/9/2023 11:22:18,5/9/2023 11:56:38,11:22,11:56,34 m,,sore on leg (again),,MPV
17773,1,Lola,Recheck,L19,5/19/2023 8:35:38,5/19/2023 9:06:17,8:35,9:06,31 m,,lymphnode,,LVH
17773,1,Lola,Sick,19,6/20/2023 10:02:37,6/20/2023 10:17:41,10:02,10:17,15 m,,,,MPV
17773,1,Lola,TNT,L16,7/24/2023 9:15:05,7/24/2023 9:33:34,9:15,9:33,18 m,,"NT, AG",,LVH
29427,2,Simon,New Pet,16,8/5/2022 15:34:50,8/5/2022 16:25:17,15:34,16:25,51 m,,Goopy eyes,,MPV
29427,2,Simon,Recheck,4,8/16/2022 15:33:25,8/16/2022 16:11:00,15:33,16:10,37 m,,eye,,MPV
29427,2,Simon,Recheck,4,8/23/2022 16:09:51,8/23/2022 16:47:38,16:09,16:47,38 m,,eye,,MPV
29427,2,Simon,Recheck,4,8/30/2022 16:02:37,8/30/2022 16:37:32,16:02,16:37,35 m,,,,MPV
28121,1,Norman,Sick,16,9/16/2022 12:27:21,9/16/2022 12:53:59,12:27,12:53,26 m,,crusty eye(s),,MPV
29427,2,Simon,Exam,4,10/18/2022 14:37:59,10/18/2022 15:53:33,14:37,15:53,1 h 16 m,,check testerone level,,MPV
17067,1,Toby,Sick,19,11/10/2022 12:55:33,11/10/2022 13:47:48,12:55,13:47,52 m,,O's found growths,,MPV
30615,1,Armin,New Pet,19,11/21/2022 10:06:19,11/21/2022 10:47:14,10:06,10:47,41 m,,uri,,MPV
28121,1,Norman,Sick,11,11/26/2022 10:08:42,11/26/2022 10:49:59,10:08,10:49,41 m,,,,MPV
30615,1,Armin,Recheck,19,12/5/2022 9:46:22,12/5/2022 10:15:17,9:46,10:15,29 m,,,,MPV
26037,1,Sadie,Sick,4,12/15/2022 8:23:54,12/15/2022 8:52:12,8:23,8:52,29 m,,meow is raspy,,MPV
5575,1,Kevin,Senior Exam,19,12/26/2022 13:54:43,12/26/2022 14:33:46,13:54,14:33,39 m,,,,MPV
31153,1,Cameron,Sick,19,1/9/2023 10:05:40,1/9/2023 10:50:26,10:05,10:50,45 m,,gums white,,MPV
5575,1,Kevin,Dental,19,1/10/2023 7:30:20,1/10/2023 11:35:49,7:30,11:35,4 h 5 m,,,,MPV
30827,1,Joey,New Pet,19,2/15/2023 17:33:41,2/15/2023 18:22:52,17:33,18:22,49 m,,wellness/microchip,,MPV
28121,1,Norman,Sick,19,2/27/2023 15:58:19,2/27/2023 16:50:47,15:58,16:50,52 m,,recheck heart murmur,,MPV
30827,1,Joey,Sick,19,3/16/2023 16:33:40,3/16/2023 16:59:50,16:33,16:59,26 m,,lethargic,,MPV
28121,1,Norman,Sick,19,4/20/2023 15:59:44,4/20/2023 16:45:20,15:59,16:45,46 m,,sprained leg?,,MPV
30827,1,Joey,Sick,19,5/12/2023 9:24:12,5/12/2023 10:34:11,9:24,10:34,1 h 10 m,,losing weight,,MPV
28121,1,Norman,Recheck,19,6/1/2023 14:02:21,6/1/2023 14:42:43,14:02,14:42,40 m,,recheck eye/post-pets,,MPV
30827,1,Joey,Lab Work,TK,6/12/2023 16:23:55,6/12/2023 16:49:40,16:23,16:49,26 m,,"Chem, CBC",,MPV
30827,1,Joey,Lab Work,TK,7/10/2023 14:34:51,7/10/2023 15:09:42,14:34,15:09,35 m,,Chem/CBC,,MPV
5575,1,Kevin,Sick,4,7/13/2023 15:57:53,7/13/2023 16:49:24,15:57,16:49,52 m,,vomitng,,MPV
28121,1,Norman,Sick,19,7/18/2023 10:44:38,7/18/2023 11:13:17,10:44,11:13,29 m,,injured L eye,,MPV
28121,1,Norman,Recheck,L16,7/24/2023 17:45:32,7/24/2023 18:53:27,17:45,18:53,1 h 8 m,,eye,,LVH
31153,1,Cameron,Sick,M19,7/31/2023 12:36:52,7/31/2023 12:52:42,12:36,12:52,16 m,,check eye,,MET
32959,1,Jupiter,New Pet,16,7/28/2023 16:22:28,7/28/2023 17:28:48,16:22,17:28,1 h 6 m,,bump on chin/not eating wel,,MPV
L2863-5,1,Lady,Senior Exam,L24,5/3/2023 16:38:33,5/3/2023 16:51:07,16:38,16:51,13 m,,,,LVH
30266,1,Lucky,New Client,6,11/2/2022 8:17:40,11/2/2022 8:55:37,8:17,8:55,38 m,,wellness pup,,MPV
30266,1,Lucky,Technician Appointment,TK,11/23/2022 9:34:36,11/23/2022 9:58:14,9:34,9:58,24 m,,1st lyme lepto,,MPV
30266,1,Lucky,Sick,16,12/16/2022 14:55:36,12/16/2022 15:42:45,14:55,15:42,47 m,,diarrhea,,MPV
30266,1,Lucky,Technician Appointment,TK,12/19/2022 13:48:03,12/19/2022 14:00:00,13:48,13:59,11 m,,boosters,,MPV
27714,1,Bobbi,Surgery,16,2/22/2023 7:47:58,2/23/2023 9:40:38,7:47,9:40,1 d 1 h 53 m,,OVH,,MPV
27714,1,Bobbi,Recheck,16,3/15/2023 9:32:00,3/15/2023 9:56:50,9:32,9:56,24 m,,,,MPV
27714,1,Bobbi,Preventative Care Exam,16,5/11/2023 13:23:33,5/11/2023 14:08:23,13:23,14:08,45 m,,,,MPV
27714,1,Bobbi,Technician Appointment,TK,6/1/2023 11:20:23,6/1/2023 11:31:32,11:20,11:31,11 m,,2nd lyme and lepto,,MPV
27714,1,Bobbi,Sick,24,6/19/2023 13:48:20,6/19/2023 14:16:09,13:48,14:16,28 m,,,,MPV
17826-1,1,Kahlua,Senior Exam,6,5/16/2023 16:58:23,5/16/2023 17:21:13,16:58,17:21,23 m,,,,MPV
14074,1,Rocky,Preventative Care Exam,L19,8/26/2022 10:03:28,8/26/2022 10:21:44,10:03,10:21,18 m,,,,LVH
14074,1,Rocky,Sick,L19,2/24/2023 14:33:49,2/24/2023 14:53:22,14:33,14:53,20 m,,,,LVH
29123,1,Hades,Sick,16,12/21/2022 15:59:20,12/21/2022 16:47:27,15:59,16:47,48 m,,,,MPV
14535,1,Fuzzy,Sick,M11,5/12/2023 11:31:02,5/12/2023 12:02:55,11:31,12:02,31 m,,allergies?,,MET
30142,3,Sadie,Euthanasia,6,12/8/2022 8:34:20,12/8/2022 10:18:56,8:34,10:18,1 h 44 m,,,,MPV
17623,1,Stella,Preventative Care Exam,19,8/4/2022 13:32:34,8/4/2022 14:14:32,13:32,14:14,42 m,,,,MPV
17623,1,Stella,Sick,4,12/13/2022 15:03:36,12/13/2022 15:44:09,15:03,15:44,41 m,,Ear infection,,MPV
17623,1,Stella,Sick,16,6/15/2023 13:35:35,6/15/2023 14:15:33,13:35,14:15,40 m,,open wound on ear,,MPV
17623,1,Stella,Recheck,19,7/11/2023 8:58:01,7/11/2023 9:27:44,8:58,9:27,29 m,,ears,,MPV
29730,2,Kitten,New Pet,16,8/31/2022 15:19:22,8/31/2022 15:44:12,15:19,15:44,25 m,,,,MPV
27104,1,Mr. Finney,Sick,6,10/7/2022 13:21:17,10/7/2022 14:26:56,13:21,14:26,1 h 5 m,,Contipated,,MPV
26610,1,Wally,Sick,16,12/9/2022 11:25:59,12/9/2022 12:05:27,11:25,12:05,40 m,,swollen face,,MPV
28597,3,Weekee,Sick,16,12/28/2022 9:51:22,12/28/2022 10:22:49,9:51,10:22,31 m,,stinky mouth,,MPV
28597,3,Weekee,Dental,16,1/19/2023 7:39:46,1/19/2023 16:38:12,7:39,16:38,8 h 59 m,,,,MPV
26610,1,Wally,Sick,16,2/24/2023 9:29:13,2/24/2023 10:04:46,9:29,10:04,35 m,,bite wounds,,MPV
28597,3,Weekee,Quality of Life,6,5/3/2023 10:18:37,5/3/2023 16:07:19,10:18,16:07,5 h 49 m,,O wants to euth,,MPV
32657,1,Leigha,New Client,16,7/1/2023 11:26:00,7/1/2023 12:33:25,11:26,12:33,1 h 7 m,,,,MPV
32657,1,Leigha,Recheck,6,7/8/2023 10:13:47,7/8/2023 10:48:00,10:13,10:48,35 m,,,,MPV
31068,1,Schwartz,New Client,6,1/21/2023 9:42:52,1/21/2023 10:24:54,9:42,10:24,42 m,,,,MPV
31068,1,Schwartz,Preventative Care Exam,19,2/11/2023 9:21:14,2/11/2023 9:38:44,9:21,9:38,17 m,,,,MPV
31068,1,Schwartz,Sick,16,5/25/2023 11:04:20,5/25/2023 11:31:54,11:04,11:31,27 m,,slimy poop,,MPV
27168,1,Molly,Sick,L16,10/17/2022 9:22:34,10/17/2022 9:55:28,9:22,9:55,33 m,,Diarrhea,,LVH
17698,3,Peppa,Sick,L16,10/17/2022 9:22:42,10/17/2022 9:55:28,9:22,9:55,33 m,,Diarrhea,,LVH
17698,3,Peppa,Sick,L19,11/11/2022 16:59:51,11/11/2022 17:33:29,16:59,17:33,34 m,,N/E,,LVH
17698,3,Peppa,Senior Exam,L16,1/16/2023 11:02:08,1/16/2023 11:35:56,11:02,11:35,33 m,,,,LVH
27168,1,Molly,Preventative Care Exam,L16,1/16/2023 11:02:22,1/16/2023 11:35:56,11:02,11:35,33 m,,,,LVH
17698,3,Peppa,Emergency,L4,3/22/2023 16:38:32,3/22/2023 17:25:29,16:38,17:25,47 m,,,,LVH
31474,1,Milo,New Client,24,2/20/2023 10:29:06,2/20/2023 11:25:12,10:29,11:25,56 m,,puppy wellness,,MPV
7585,2,Brie,TNT,TK,9/19/2022 18:26:21,9/19/2022 18:38:47,18:26,18:38,12 m,,,,MPV
17906,2,Ember,TNT,TK,9/19/2022 18:26:31,9/19/2022 18:38:47,18:26,18:38,12 m,,,,MPV
17906,2,Ember,Sick,11,11/30/2022 18:46:47,11/30/2022 19:27:30,18:46,19:27,41 m,,painful/GI issues,,MPV
17906,2,Ember,Recheck,11,12/21/2022 18:58:05,12/21/2022 19:28:22,18:58,19:28,30 m,,& vacc if possible,,MPV
7585,2,Brie,TNT,TK,12/26/2022 10:26:52,12/26/2022 10:35:32,10:26,10:35,9 m,,,,MPV
7585,2,Brie,Senior Exam,11,3/15/2023 18:35:43,3/15/2023 19:04:21,18:35,19:04,29 m,,NT,,MPV
23311,1,Leo,Sick,6,9/15/2022 16:37:11,9/15/2022 17:12:25,16:37,17:12,35 m,,,,MPV
31133,1,Bella,New Client,16,1/7/2023 9:09:21,1/7/2023 9:36:33,9:09,9:36,27 m,,NP/URI,,MET
31220,1,Rocky,New Pet,L16,1/16/2023 17:04:06,,17:04,,,,Vomitting,,LVH
31133,1,Bella,Recheck,L12,1/19/2023 10:14:20,1/19/2023 12:25:27,10:14,12:25,2 h 11 m,,eye,,LVH
31133,1,Bella,Recheck,L12,1/24/2023 16:54:51,1/24/2023 17:16:40,16:54,17:16,22 m,,,,LVH
31133,1,Bella,Preventative Care Exam,16,2/9/2023 8:48:44,2/9/2023 9:21:30,8:48,9:21,33 m,,,,MPV
31133,1,Bella,Recheck,11,2/13/2023 11:17:14,2/13/2023 11:48:49,11:17,11:48,31 m,,,,MPV
31133,1,Bella,Recheck,16,2/17/2023 15:32:18,2/17/2023 16:11:26,15:32,16:11,39 m,,,,MPV
31133,1,Bella,Sick,16,3/22/2023 17:03:08,3/22/2023 17:43:13,17:03,17:43,40 m,,"lethargis, eye discharge",,MPV
20848,1,Mila,Sick,19,8/22/2022 10:01:01,8/22/2022 10:25:51,10:01,10:25,24 m,23,,coughing,MPV
20848,1,Mila,Preventative Care Exam,19,9/12/2022 14:29:07,9/12/2022 14:48:38,14:29,14:48,19 m,,,,MPV
20848,1,Mila,Dental,19,9/13/2022 7:46:12,9/13/2022 13:51:29,7:46,13:51,6 h 5 m,,,,MPV
26800,1,Ziggy Marie,Preventative Care Exam,L24,4/26/2023 15:57:50,4/26/2023 16:17:23,15:57,16:17,20 m,,,,LVH
21587-3,3,Momma,Sick,16,9/30/2022 7:32:44,9/30/2022 17:57:09,7:32,17:57,10 h 25 m,,Drop off to be tanked,,MPV
31373,1,Sebastian,New Pet,6,2/3/2023 9:43:17,2/3/2023 10:11:45,9:43,10:11,28 m,,"check teeth, bw + t4",,MPV
31373,1,Sebastian,Dental,6,3/15/2023 7:50:25,3/15/2023 17:04:25,7:50,17:04,9 h 14 m,,OAT w/extractions,,MPV
31629,1,Mochi,New Client,19,3/8/2023 9:34:44,3/8/2023 10:19:53,9:34,10:19,45 m,,NP/,,MPV
14957,1,Polly,Preventative Care Exam,4,9/8/2022 11:06:55,9/8/2022 11:35:25,11:06,11:35,29 m,,,,MPV
14957,1,Polly,Technician Appointment,TK,10/28/2022 10:15:07,10/28/2022 10:22:11,10:15,10:22,7 m,,lepto/Lyme,,MPV
14957,1,Polly,Emergency,24,12/17/2022 10:23:14,12/17/2022 11:14:49,10:23,11:14,51 m,,,,MPV
14957,1,Polly,Recheck,19,12/19/2022 14:52:38,12/19/2022 15:35:16,14:52,15:35,43 m,,Leg still bothering,,MPV
16629,1,Aengus,Technician Appointment,L12,10/11/2022 13:58:35,10/11/2022 14:24:41,13:58,14:24,26 m,,anal glands,,LVH
16629,1,Aengus,Technician Appointment,TK,11/2/2022 15:07:23,11/23/2022 11:23:52,15:07,11:23,20 d 20 h 16 m,,,,MPV
16629,1,Aengus,Preventative Care Exam,4,11/29/2022 15:14:09,11/29/2022 15:45:42,15:14,15:45,31 m,,check anal glands,,MPV
16629,1,Aengus,Preventative Care Exam,11,4/15/2023 11:59:58,4/15/2023 12:32:47,11:59,12:32,33 m,,,,MPV
16629,1,Aengus,Technician Appointment,M11,6/2/2023 11:23:37,6/2/2023 11:29:46,11:23,11:29,6 m,,anal glands,,MET
18953,1,Beans,Sick,L4,9/21/2022 13:18:28,9/21/2022 13:55:04,13:18,13:55,37 m,,adr,,LVH
23672,3,Bentley,Senior Exam,4,9/19/2022 19:16:09,9/19/2022 19:54:29,19:16,19:54,38 m,,,,MPV
23672,3,Bentley,Ultrasound,6,9/28/2022 7:55:28,9/28/2022 12:05:30,7:55,12:05,4 h 10 m,,Ultrasound,,MPV
23672,3,Bentley,Recheck,L4,2/15/2023 18:52:36,2/15/2023 19:28:52,18:52,19:28,36 m,,,,LVH
23672,3,Bentley,Sick,16,5/3/2023 10:00:38,5/3/2023 11:09:27,10:00,11:09,1 h 9 m,,low urine output constipate,,MPV
23672,3,Bentley,Ultrasound,16,5/4/2023 9:00:55,5/5/2023 17:18:08,9:00,17:18,1 d 8 h 18 m,,,,MPV
23672,3,Bentley,Drop off - Admit,16,5/9/2023 11:24:52,5/9/2023 19:16:29,11:24,19:16,7 h 52 m,,,,MPV
11844,1,Emma,Preventative Care Exam,6,8/24/2022 8:53:22,8/24/2022 9:15:05,8:53,9:15,22 m,,,,MPV
11180,1,Brooklyn,Senior Exam,11,9/12/2022 13:02:15,9/12/2022 14:00:33,13:02,14:00,58 m,,,,MPV
25958,1,Zeus,Senior Exam,11,9/12/2022 13:02:29,9/12/2022 14:00:33,13:02,14:00,58 m,,,,MPV
11180,1,Brooklyn,Sick,4,12/13/2022 14:27:29,12/13/2022 15:16:38,14:27,15:16,49 m,,drinking more,,MPV
25958,1,Zeus,Sick,6,5/2/2023 13:19:37,5/2/2023 14:03:24,13:19,14:03,44 m,,ate some things he shouldnt,,MPV
22441,1,Gus,Sick,24,2/21/2023 10:48:08,2/21/2023 11:25:49,10:48,11:25,37 m,,"Check A. glands, needs PE",,MPV
6060,1,Smash,Sick,16,6/2/2023 15:24:08,6/2/2023 16:05:58,15:24,16:05,41 m,,infected dew claw/ck teeth,,MPV
4431,1,Shay,Sick,19,10/10/2022 8:15:29,10/10/2022 8:51:17,8:15,8:51,36 m,,not eating/not herself,,MPV
4431,1,Shay,Senior Exam,16,5/5/2023 16:42:15,5/5/2023 17:35:47,16:42,17:35,53 m,,,,MPV
14411,1,Winston Churchill,Preventative Care Exam,M11,12/16/2022 16:51:16,12/16/2022 17:08:37,16:51,17:08,17 m,,,,MET
14413,1,Marilyn Monroe,Preventative Care Exam,M11,12/16/2022 16:51:28,12/16/2022 17:08:37,16:51,17:08,17 m,,,,MET
14411,1,Winston Churchill,Sick,19,1/16/2023 9:27:50,1/16/2023 10:04:34,9:27,10:04,37 m,,,,MPV
27352,1,Persephone,Preventative Care Exam,L19,12/9/2022 15:26:40,12/9/2022 15:58:42,15:26,15:58,32 m,,and check leg bump,,LVH
30481,1,Rhys,New Pet,L12,11/15/2022 16:53:39,11/15/2022 17:50:43,16:53,17:50,57 m,,,,LVH
30481,1,Rhys,Technician Appointment,L12,11/22/2022 8:31:53,11/22/2022 8:34:09,8:31,8:34,3 m,,bordetella only,,LVH
16973,1,Macaroni,Preventative Care Exam,11,12/7/2022 18:41:01,12/7/2022 19:21:46,18:41,19:21,40 m,,,,MPV
30481,1,Rhys,Preventative Care Exam,L12,12/13/2022 16:27:57,12/13/2022 17:12:04,16:27,17:12,45 m,,next Da2pp & Rabies,,LVH
30481,1,Rhys,Preventative Care Exam,L12,1/3/2023 16:43:04,1/3/2023 17:14:03,16:43,17:14,31 m,,last da2pp,,LVH
30481,1,Rhys,Sick,L12,2/2/2023 8:54:15,2/2/2023 9:08:58,8:54,9:08,14 m,,ringworm again on paw?,,LVH
23322,1,Enzo,Preventative Care Exam,6,2/20/2023 16:57:49,2/20/2023 17:34:32,16:57,17:34,37 m,,,,MPV
23322,1,Enzo,Technician Appointment,TK,3/21/2023 17:34:26,3/21/2023 17:49:13,17:34,17:49,15 m,,,,MPV
23322,1,Enzo,Sick,16,4/28/2023 17:21:55,4/28/2023 17:50:14,17:21,17:50,29 m,,check cyst/getting bigger,,MPV
23322,1,Enzo,Surgery,16,5/17/2023 7:31:21,5/17/2023 17:49:25,7:31,17:49,10 h 18 m,,Mass removal,,MPV
23322,1,Enzo,Suture Removal,16,6/2/2023 15:13:52,6/2/2023 15:34:47,15:13,15:34,21 m,,,,MPV
688,1,Davidson,Preventative Care Exam,19,10/17/2022 13:38:30,10/17/2022 14:19:45,13:38,14:19,41 m,,,,MPV
12244,1,Dyna,Preventative Care Exam,19,10/17/2022 13:38:42,10/17/2022 14:19:45,13:38,14:19,41 m,,,,MPV
12244,1,Dyna,Short Procedure,19,1/31/2023 8:10:56,1/31/2023 16:43:02,8:10,16:43,8 h 33 m,,tear duct flush,,MPV
30703,1,Marimba,New Client,M11,12/6/2022 14:32:15,12/6/2022 15:17:04,14:32,15:17,45 m,,ear issues,,MET
30703,1,Marimba,Lab Work,TK,12/14/2022 8:51:49,12/14/2022 9:17:56,8:51,9:17,26 m,,labwork,,MPV
30703,1,Marimba,Recheck,M11,12/20/2022 10:20:30,12/20/2022 10:53:50,10:20,10:53,33 m,,not doing great,,MET
30703,1,Marimba,Technician Appointment,M11,1/24/2023 13:07:42,1/24/2023 13:19:35,13:07,13:19,12 m,,solensia nails ear cleaning,,MET
30703,1,Marimba,Sick,M11,2/21/2023 12:57:04,2/21/2023 13:23:19,12:57,13:23,26 m,,check ears & skin solensia,,MET
30703,1,Marimba,Technician Appointment,MTK,3/28/2023 10:15:36,3/28/2023 10:25:06,10:15,10:25,10 m,,solensia inj,,MET
30703,1,Marimba,Technician Appointment,MTK,3/28/2023 10:54:38,3/28/2023 10:54:54,10:54,10:54,0 m,,,,MET
30703,1,Marimba,Sick,6,3/30/2023 13:48:59,3/30/2023 14:22:27,13:48,14:22,34 m,,limping,,MPV
30703,1,Marimba,Technician Appointment,MTK,5/2/2023 11:17:45,5/2/2023 11:27:25,11:17,11:27,10 m,,solensia inj,,MET
30703,1,Marimba,Senior Exam,M11,6/2/2023 10:12:38,6/2/2023 10:44:42,10:12,10:44,32 m,,solensia inj,,MET
30703,1,Marimba,Technician Appointment,TK,6/30/2023 12:11:21,6/30/2023 12:18:37,12:11,12:18,7 m,,SOLNESIA INJ.,,MET
31039,1,Ginger,New Pet,11,7/17/2023 11:25:39,7/17/2023 12:01:50,11:25,12:01,36 m,,"vacc's-rv,fvrcp TNT",,MPV
15118,1,Lokie,Preventative Care Exam,4,10/31/2022 18:35:47,10/31/2022 19:23:20,18:35,19:23,48 m,,,,MPV
31636,1,Lucky,New Client,L4,3/1/2023 16:37:26,3/1/2023 17:06:06,16:37,17:06,29 m,,New C/P; URI?,,LVH
31636,1,Lucky,Sick,L16,7/17/2023 16:54:09,7/17/2023 17:24:35,16:54,17:24,30 m,,coughing again,,LVH
31638,1,Jack,New Pet,L12,8/1/2023 16:50:10,8/1/2023 17:57:10,16:50,17:57,1 h 7 m,,Wellness exam,,LVH
