"patientid","description","staffid","datein","dateout","visit_details","location","app_type","app_subtype","duration_min","details"
"5954","preventative care exam","4",2023-07-18 08:14:22,2023-07-18 08:48:34,NA,"mpv","doctor",NA,34,"preventative care exam"
"32385","new pet","16",2023-05-25 16:31:37,2023-05-25 17:27:23,"kitten wellness","mpv","doctor",NA,56,"new pet"
"28852","preventative care exam","6",2023-06-20 16:56:29,2023-06-20 17:23:36,NA,"mpv","doctor",NA,27,"preventative care exam"
"32385","preventative care exam","6",2023-06-20 16:56:41,2023-06-20 17:23:36,"next kitten","mpv","doctor",NA,27,"preventative care exam"
"29493","new pet","4",2022-09-20 16:43:44,2022-09-20 17:12:19,NA,"mpv","doctor",NA,29,"new pet"
"7089","preventative care exam","16",2022-09-21 08:33:32,2022-09-21 09:04:01,NA,"mpv","doctor",NA,30,"preventative care exam"
"7089","preventative care exam","6",2023-01-13 16:01:46,2023-01-13 16:33:37,NA,"mpv","doctor",NA,32,"preventative care exam"
"22151","preventative care exam","6",2023-01-13 16:01:58,2023-01-13 16:33:37,NA,"mpv","doctor",NA,32,"preventative care exam"
"22151","technician appointment","tk",2023-04-07 10:09:42,2023-04-07 10:22:51,"lyme lepto","mpv","tech_app",NA,13,"misc tech appointment"
"12760","preventative care exam","19",2023-02-06 12:24:47,2023-02-06 13:10:07,NA,"mpv","doctor",NA,45,"preventative care exam"
"3234","senior exam","6",2023-02-21 12:52:32,2023-02-21 13:31:54,"vacc and fecal","mpv","doctor",NA,39,"senior exam"
"3235","senior exam","6",2023-03-07 12:33:45,2023-03-07 12:55:47,NA,"mpv","doctor",NA,22,"senior exam"
"3235","sick","4",2023-06-22 14:50:40,2023-06-22 15:32:45,NA,"mpv","doctor",NA,42,"sick"
"15059","preventative care exam","11",2023-05-26 16:48:45,2023-05-26 17:24:00,NA,"met","doctor",NA,35,"preventative care exam"
"22214","preventative care exam","11",2023-05-26 16:49:14,2023-05-26 17:24:00,NA,"met","doctor",NA,35,"preventative care exam"
"1997","sick","16",2022-09-29 10:30:30,2022-09-29 14:17:52,"uti","mpv","doctor",NA,227,"sick"
"1997","surgery","16",2022-10-13 11:32:53,2022-10-14 11:32:37,"cystotomy","mpv","admit",NA,1440,NA
"1997","recheck","16",2022-11-03 10:26:02,2022-11-03 15:23:46,"with ua","mpv","doctor",NA,298,"recheck"
"1997","technician appointment","tk",2022-11-15 15:55:37,2022-11-15 16:08:43,"convenia inj","mpv","tech_app",NA,13,"misc tech appointment"
"1997","sick","4",2023-06-17 09:00:52,2023-06-17 09:32:29,"eye infection","mpv","doctor",NA,32,"sick"
"1997","recheck","16",2023-07-19 08:44:08,2023-07-19 09:29:34,NA,"mpv","doctor",NA,45,"recheck"
"9043","sick","4",2022-09-01 10:20:37,2022-09-01 11:09:24,"diarrhea/not eating","mpv","doctor",NA,49,"sick"
"9043","senior exam","11",2022-09-09 11:40:46,2022-09-09 11:55:16,"wellness/vaccine","met","doctor",NA,14,"senior exam"
"9043","sick","4",2023-05-23 08:59:56,2023-05-23 09:27:27,NA,"mpv","doctor",NA,28,"sick"
"31881","new pet","19",2023-04-06 17:43:58,2023-04-06 18:18:29,"started spraying","mpv","doctor",NA,35,"new pet"
"11441-2","senior exam","6",2022-09-27 13:37:28,2022-09-27 14:19:52,NA,"mpv","doctor",NA,42,"senior exam"
"11441-2","sick","4",2023-02-16 13:42:55,2023-02-16 14:11:54,NA,"mpv","doctor",NA,29,"sick"
"11441-2","senior exam","4",2023-03-21 11:00:40,2023-03-21 11:16:54,NA,"mpv","doctor",NA,16,"senior exam"
"11441-2","sick","4",2023-05-30 14:14:50,2023-05-30 15:00:15,"seizures","mpv","doctor",NA,45,"sick"
"11441-2","sick","4",2023-07-27 14:14:23,2023-07-27 15:04:46,"n/e/d, lethargic","mpv","doctor",NA,50,"sick"
"30446","new client","19",2022-11-18 10:40:15,2022-11-18 11:17:59,NA,"lvh","doctor",NA,38,"new client"
"30446","sick","19",2023-02-22 14:33:59,2023-02-22 14:53:08,"back leg issues","lvh","doctor",NA,19,"sick"
"11781","sick","4",2023-03-13 19:02:14,2023-03-13 19:43:40,NA,"mpv","doctor",NA,41,"sick"
"30103","new client","11",2022-10-21 14:32:46,2022-10-21 15:02:42,NA,"met","doctor",NA,30,"new client"
"30103","preventative care exam","11",2023-03-17 16:24:58,2023-03-17 17:00:43,NA,"met","doctor",NA,36,"preventative care exam"
"30103","recheck","11",2023-03-31 16:47:14,2023-03-31 17:11:25,"skin & vaccines","met","doctor",NA,24,"recheck"
"17750-2","tnt","11",2022-09-09 12:13:58,2022-09-09 12:22:35,NA,"met","tech_app",NA,9,"tnt"
"17750-2","sick","6",2023-07-08 09:40:56,2023-07-08 10:05:43,"fell down steps/cant walk","mpv","doctor",NA,25,"sick"
"30189","new pet","4",2022-10-11 16:11:17,2022-10-11 17:00:29,"heart murmur/needs dental","mpv","doctor",NA,49,"new pet"
"20700-1","sick","16",2022-11-04 10:34:12,2022-11-04 11:07:23,"abscess on paw?","mpv","doctor",NA,33,"sick"
"20700-1","euthanasia","4",2022-11-21 19:04:23,2022-11-21 19:17:58,NA,"mpv","doctor",NA,14,NA
"30189","senior exam","24",2023-03-24 16:52:24,2023-03-24 17:59:13,NA,"mpv","doctor",NA,67,"senior exam"
"30189","sick","24",2023-05-01 14:59:23,2023-05-01 15:40:16,"gagging/ coughing?","mpv","doctor",NA,41,"sick"
"32802","new pet","6",2023-07-12 16:49:55,2023-07-12 17:24:05,NA,"mpv","doctor",NA,34,"new pet"
"29881","new pet","6",2022-10-17 15:34:37,2022-10-17 15:54:28,"next puppy","mpv","doctor",NA,20,"new pet"
"8423","sick","6",2023-02-10 16:36:24,2023-02-10 17:18:57,NA,"mpv","doctor",NA,43,"sick"
"15962","preventative care exam","4",2022-09-12 18:04:35,2022-09-12 18:54:36,"vacc and fecal","mpv","doctor",NA,50,"preventative care exam"
"15962","sick","4",2022-11-01 16:53:56,2022-11-01 17:22:57,"vomiting","mpv","doctor",NA,29,"sick"
"30647","sick","11",2022-11-23 16:32:09,2022-11-23 17:09:07,"neck injury painful","mpv","doctor",NA,37,"sick"
"24817","preventative care exam","6",2022-08-05 09:25:06,2022-08-05 09:53:55,NA,"mpv","doctor",NA,29,"preventative care exam"
"24817","technician appointment","tk",2022-08-26 09:57:47,2022-08-26 10:07:03,NA,"mpv","tech_app",NA,9,"misc tech appointment"
"24817","technician appointment","tk",2022-10-31 18:30:02,2022-10-31 18:49:44,"1st flu booster","mpv","tech_app",NA,20,"misc tech appointment"
"24817","consultation","11",2022-11-21 15:35:30,2022-11-21 15:57:16,"anxiety/2nd civ","mpv","doctor/admit",NA,22,NA
"24817","sick","6",2023-04-18 17:19:42,2023-04-18 17:41:18,NA,"mpv","doctor",NA,22,"sick"
"24817","suture removal","24",2023-04-27 08:49:54,2023-04-27 09:24:24,"staple removal","mpv","doctor",NA,34,"suture removal"
"24817","recheck","24",2023-05-08 09:48:03,2023-05-08 10:22:02,NA,"mpv","doctor",NA,34,"recheck"
"24817","recheck","24",2023-07-24 13:12:05,2023-07-24 14:03:28,NA,"mpv","doctor",NA,51,"recheck"
"24817","preventative care exam","6",2023-08-02 14:35:51,2023-08-02 15:08:20,NA,"mpv","doctor",NA,32,"preventative care exam"
"11129","sick","12",2022-10-06 10:51:40,2022-10-06 11:05:10,"urinary incontinence","lvh","doctor",NA,14,"sick"
"11129","senior exam","4",2023-04-19 15:41:42,2023-04-19 16:03:57,NA,"lvh","doctor",NA,22,"senior exam"
"32464","new client","16",2023-06-15 08:28:21,2023-06-15 09:20:00,NA,"mpv","doctor",NA,52,"new client"
"32463","new pet","24",2023-07-13 08:04:12,2023-07-13 08:46:27,"establish care","mpv","doctor",NA,42,"new pet"
"32464","recheck","16",2023-07-13 08:04:35,2023-07-13 08:46:27,NA,"mpv","doctor",NA,42,"recheck"
"30934","new pet","16",2023-01-04 14:52:18,2023-01-04 15:42:18,"litter exam, 6 puppies","mpv","doctor",NA,50,"new pet"
"31311","new pet","16",2023-01-25 10:34:11,2023-01-25 11:13:03,"sick","mpv","doctor",NA,39,"new pet"
"31311","preventative care exam","11",2023-06-26 12:14:37,2023-06-26 12:47:10,NA,"mpv","doctor",NA,33,"preventative care exam"
"25857","tnt","tk",2023-07-28 10:37:34,2023-07-28 10:58:18,NA,"mpv","tech_app",NA,21,"tnt"
"23393","sick","12",2022-10-18 09:37:31,2022-10-18 09:59:47,"check eye","lvh","doctor",NA,22,"sick"
"18865","sick","12",2022-11-15 14:18:47,2022-11-15 14:51:34,"ndr","lvh","doctor",NA,33,"sick"
"18865","technician appointment","12",2023-03-02 11:59:26,2023-03-02 12:28:04,"ag","lvh","tech_app",NA,29,"misc tech appointment"
"18865","sick","6",2023-03-15 09:54:29,2023-03-15 10:18:51,NA,"mpv","doctor",NA,24,"sick"
"18865","sick","16",2023-04-14 13:40:18,2023-04-14 14:17:52,"v/d","lvh","doctor",NA,38,"sick"
"l3341","senior exam","12",2023-05-30 13:59:38,2023-05-30 14:30:50,NA,"lvh","doctor",NA,31,"senior exam"
"28072","recheck","19",2022-08-04 12:18:17,2022-08-04 12:41:37,NA,"mpv","doctor",NA,23,"recheck"
"29471","new pet","19",2022-08-09 09:54:30,2022-08-09 10:31:32,"vomitting/weight loss","mpv","doctor",NA,37,"new pet"
"28072","lab work","11",2022-08-26 14:24:15,2022-08-26 14:35:19,"recheck cbc","met","tech_app",NA,11,"lab work"
"28072","technician appointment","11",2022-08-26 16:18:09,2022-08-26 16:21:09,"needs chem as well.","met","tech_app",NA,3,"misc tech appointment"
"28072","sick","19",2022-09-01 13:23:52,2022-09-01 14:55:51,NA,"mpv","doctor",NA,92,"sick"
"29471","lab work","11",2022-09-13 11:01:49,2022-09-13 11:10:14,"recheck bloodwork","met","tech_app",NA,8,"lab work"
"28072","lab work","tk",2022-09-21 15:27:19,2022-09-21 15:42:05,"total health/cbc","mpv","tech_app",NA,15,"lab work"
"29471","technician appointment","11",2022-10-11 15:05:44,2022-10-11 15:25:22,"chem/cbc","met","tech_app",NA,20,"misc tech appointment"
"28072","lab work","tk",2022-10-21 11:12:01,2022-10-21 11:42:52,"chem/cbc","mpv","tech_app",NA,31,"lab work"
"28072","lab work","tk",2022-11-16 09:42:18,2022-11-16 09:51:55,"bw","mpv","tech_app",NA,10,"lab work"
"29471","recheck","19",2022-11-23 10:55:12,2022-11-23 11:37:40,NA,"mpv","doctor",NA,42,"recheck"
"28072","sick","6",2022-12-02 16:00:30,2022-12-02 16:48:19,"adr","mpv","doctor",NA,48,"sick"
"28072","lab work","tk",2023-01-02 14:39:04,2023-01-02 14:54:27,"chem and cbc","mpv","tech_app",NA,15,"lab work"
"28072","lab work","tk",2023-02-07 17:16:43,2023-02-07 17:26:38,"il10139","mpv","tech_app",NA,10,"lab work"
"28072","lab work","tk",2023-03-18 10:23:23,2023-03-18 10:36:48,"total health","mpv","tech_app",NA,13,"lab work"
"28072","lab work","11",2023-04-18 11:33:00,2023-04-18 11:50:25,NA,"met","tech_app",NA,17,"lab work"
"28072","sick","19",2023-05-01 14:02:47,2023-05-01 15:25:20,"ndw","mpv","doctor",NA,83,"sick"
"20732","sick","19",2023-05-18 15:48:39,2023-05-18 16:29:34,"eye issue","mpv","doctor",NA,41,"sick"
"28072","lab work","11",2023-06-06 14:22:45,2023-06-06 14:38:50,"cbc chem","met","tech_app",NA,16,"lab work"
"32605","new pet","19",2023-06-29 13:40:55,2023-06-29 15:02:51,"new cat/wellness","mpv","doctor",NA,82,"new pet"
"29471","preventative care exam","19",2023-06-29 13:41:07,2023-06-29 15:00:20,NA,"mpv","doctor",NA,79,"preventative care exam"
"24087","senior exam","4",2022-11-16 14:08:07,2022-11-16 14:32:58,"rabies & nt","lvh","doctor",NA,25,"senior exam"
"24087","technician appointment","4",2022-12-14 18:37:15,2022-12-14 18:43:20,NA,"lvh","tech_app",NA,6,"misc tech appointment"
"24087","sick","12",2022-12-20 14:36:40,2022-12-20 14:59:44,"check mouth","lvh","doctor",NA,23,"sick"
"24087","technician appointment","4",2022-12-21 13:58:24,2022-12-21 14:04:57,"convenia injection","lvh","tech_app",NA,7,"misc tech appointment"
"24087","quality of life","19",2023-01-06 13:58:56,2023-01-06 16:06:02,"prob euth","lvh","doctor",NA,127,"quality of life"
"29846","new client","6",2022-09-29 16:56:45,2022-09-29 17:37:17,NA,"mpv","doctor",NA,41,"new client"
"29846","technician appointment","tk",2022-10-26 19:19:00,2022-10-26 19:33:45,NA,"mpv","tech_app",NA,15,"misc tech appointment"
"33078","new pet","4",2023-07-25 15:04:59,2023-07-25 15:38:24,"diarrhea","mpv","doctor",NA,33,"new pet"
"29846","sick","4",2023-07-25 15:05:13,2023-07-25 15:38:24,NA,"mpv","doctor",NA,33,"sick"
"16432","preventative care exam","4",2023-02-07 16:43:00,2023-02-07 17:25:22,"rabies vaccine","mpv","doctor",NA,42,"preventative care exam"
"11235","senior exam","11",2023-05-24 17:38:08,2023-05-24 17:56:19,NA,"mpv","doctor",NA,18,"senior exam"
"30208","new pet","6",2023-02-25 12:16:21,2023-02-25 12:54:09,"kitten wellness","mpv","doctor",NA,38,"new pet"
"30208","short procedure","6",2023-03-15 08:28:24,2023-03-15 17:42:25,"feline castration","mpv","admit",NA,554,NA
"21152-1","senior exam","4",2022-12-05 16:22:03,2022-12-05 16:49:47,NA,"mpv","doctor",NA,28,"senior exam"
"21152-1","sick","19",2023-06-12 11:01:40,2023-06-12 11:05:25,NA,"mpv","doctor",NA,4,"sick"
"32806","new client","11",2023-07-11 12:10:01,2023-07-11 12:40:10,"new puppy","met","doctor",NA,30,"new client"
"32328","new client","6",2023-05-24 15:59:57,2023-05-24 16:47:32,"puppy wellness","mpv","doctor",NA,48,"new client"
"32328","preventative care exam","24",2023-06-16 12:51:38,2023-06-16 13:17:21,"2nd puppy","mpv","doctor",NA,26,"preventative care exam"
"32328","preventative care exam","24",2023-07-07 13:59:44,2023-07-07 14:36:43,"last puppy","mpv","doctor",NA,37,"preventative care exam"
"32328","technician appointment","tk",2023-07-28 15:28:55,2023-07-28 15:38:46,"2nd lyme and lepto","mpv","tech_app",NA,10,"misc tech appointment"
"32472","new client","24",2023-05-31 14:47:30,2023-05-31 15:21:29,"np/wellness & vacc","lvh","doctor",NA,34,"new client"
"9936","surgery","16",2022-08-18 07:16:09,2022-08-18 18:41:49,"k9 castration","mpv","admit",NA,686,NA
"l6278-1","sick","12",2022-09-22 12:31:07,2022-09-22 13:04:16,"""thing"" on back of head","lvh","doctor",NA,33,"sick"
"l6278-1","recheck","12",2022-12-27 15:12:02,2022-12-27 15:40:33,NA,"lvh","doctor",NA,29,"recheck"
"l6278-1","recheck","12",2023-02-28 14:05:51,2023-02-28 14:36:26,"lump","lvh","doctor",NA,31,"recheck"
"9936","preventative care exam","12",2023-05-09 17:06:42,2023-05-09 17:48:16,NA,"lvh","doctor",NA,42,"preventative care exam"
"l6278-2","senior exam","24",2023-05-10 17:15:42,2023-05-10 17:40:38,NA,"lvh","doctor",NA,25,"senior exam"
"9936","lab work","tktk",2023-05-22 17:47:19,2023-05-22 18:10:41,"cbc","lvh","tech_app",NA,23,"lab work"
"l6278-1","recheck","12",2023-06-20 14:03:05,2023-06-20 14:45:17,NA,"lvh","doctor",NA,42,"recheck"
"l6278-1","technician appointment","tktk",2023-07-05 15:13:41,2023-07-05 15:16:53,NA,"lvh","tech_app",NA,3,"misc tech appointment"
"17433-4","sick","19",2023-03-15 15:40:55,2023-03-15 16:23:57,"eye infection","lvh","doctor",NA,43,"sick"
"32151","new pet","19",2023-04-25 09:39:22,2023-04-25 10:19:18,"found kitten","mpv","doctor",NA,40,"new pet"
"32151","recheck","4",2023-05-15 08:57:24,2023-05-15 09:34:20,"eyes","mpv","doctor",NA,37,"recheck"
"32151","sick","19",2023-06-12 08:59:34,2023-06-12 09:21:19,NA,"mpv","doctor",NA,22,"sick"
"4584","tnt","tk",2022-08-26 10:27:55,2022-08-26 10:34:58,NA,"mpv","tech_app",NA,7,"tnt"
"4584","tnt","tk",2022-09-29 10:48:01,2022-09-29 10:55:33,NA,"mpv","tech_app",NA,8,"tnt"
"4584","tnt","tk",2022-11-22 10:44:54,2022-11-22 10:55:18,NA,"mpv","tech_app",NA,10,"tnt"
"4584","tnt","tk",2023-01-10 08:59:57,2023-01-10 09:09:30,NA,"mpv","tech_app",NA,10,"tnt"
"4584","sick","4",2023-01-19 14:56:16,2023-01-19 15:28:41,NA,"mpv","doctor",NA,32,"sick"
"4584","tnt","tk",2023-02-28 11:37:09,2023-02-28 11:46:16,NA,"mpv","tech_app",NA,9,"tnt"
"4584","tnt","tk",2023-04-20 09:13:51,2023-04-20 09:27:20,NA,"mpv","tech_app",NA,13,"tnt"
"4584","tnt","tk",2023-06-08 16:03:54,2023-06-08 16:11:25,NA,"mpv","tech_app",NA,8,"tnt"
"4584","tnt","tk",2023-08-02 16:47:06,2023-08-02 16:57:52,NA,"mpv","tech_app",NA,11,"tnt"
"l3483","senior exam","12",2022-12-22 08:43:22,2022-12-22 09:11:26,NA,"lvh","doctor",NA,28,"senior exam"
"l3483","sick","11",2023-01-04 18:16:44,2023-01-04 19:12:26,NA,"mpv","doctor",NA,56,"sick"
"l3483","technician appointment","16",2023-01-16 19:25:24,2023-01-16 19:31:59,NA,"lvh","tech_app",NA,7,"misc tech appointment"
"17956","tnt","12",2022-09-01 11:44:46,2022-09-01 11:47:11,NA,"lvh","tech_app",NA,2,"tnt"
"17956","tnt","12",2022-12-13 14:12:40,2022-12-13 14:15:51,NA,"lvh","tech_app",NA,3,"tnt"
"17956","tnt","16",2023-04-17 17:44:29,2023-04-17 17:53:06,NA,"lvh","tech_app",NA,9,"tnt"
"17956","preventative care exam","12",2023-08-01 08:59:07,2023-08-01 09:32:48,"vacc and tnt","lvh","doctor",NA,34,"preventative care exam"
"32549","new client","11",2023-06-30 10:19:49,2023-06-30 10:45:24,"np/ wellness /est vet","met","doctor",NA,26,"new client"
"8622","preventative care exam","6",2022-10-17 13:04:40,2022-10-17 13:37:54,NA,"mpv","doctor",NA,33,"preventative care exam"
"28131","tnt","tk",2022-10-05 17:53:07,2022-10-05 18:05:14,NA,"mpv","tech_app",NA,12,"tnt"
"28131","preventative care exam","6",2023-04-07 13:50:38,2023-04-07 14:35:03,"vacc and fecal","mpv","doctor",NA,44,"preventative care exam"
"28131","sick","6",2023-04-13 13:33:24,2023-04-13 14:15:00,"vomiting bile","mpv","doctor",NA,42,"sick"
"28131","tnt","tk",2023-06-27 17:38:48,2023-06-27 17:48:37,NA,"mpv","tech_app",NA,10,"tnt"
"521","senior exam","6",2023-01-13 14:38:36,2023-01-13 15:04:20,NA,"mpv","doctor",NA,26,"senior exam"
"520","senior exam","6",2023-01-13 14:38:49,2023-01-13 15:04:20,NA,"mpv","doctor",NA,26,"senior exam"
"521","sick","6",2023-07-12 09:13:00,2023-07-12 09:42:13,"checking lumps","mpv","doctor",NA,29,"sick"
"19634","euthanasia","6",2023-02-03 16:51:08,2023-02-03 17:27:01,NA,"mpv","doctor",NA,36,NA
"959","senior exam","11",2023-02-20 17:35:28,2023-02-20 18:06:20,"tnt","mpv","doctor",NA,31,"senior exam"
"959","recheck","11",2023-03-08 16:54:38,2023-03-08 17:15:35,"ears","mpv","doctor",NA,21,"recheck"
"9227","preventative care exam","4",2022-10-10 19:24:52,2022-10-10 20:03:11,NA,"mpv","doctor",NA,38,"preventative care exam"
"11512","preventative care exam","4",2022-10-10 19:25:02,2022-10-10 20:03:11,NA,"mpv","doctor",NA,38,"preventative care exam"
"22271","technician appointment","12",2022-08-04 08:25:20,2022-08-04 08:31:42,NA,"lvh","tech_app",NA,6,"misc tech appointment"
"22271","tnt","4",2022-11-23 13:52:51,2022-11-23 13:57:56,NA,"lvh","tech_app",NA,5,"tnt"
"22271","preventative care exam","12",2023-02-09 11:12:38,2023-02-09 11:43:36,NA,"lvh","doctor",NA,31,"preventative care exam"
"22271","tnt","19",2023-07-14 08:38:28,2023-07-14 08:57:25,NA,"lvh","tech_app",NA,19,"tnt"
"15431","preventative care exam","11",2023-05-22 12:54:53,2023-05-22 13:32:14,"wellness and vaccine","mpv","doctor",NA,37,"preventative care exam"
"15383-1","sick","4",2022-12-13 15:02:27,2022-12-13 15:45:15,"constipated???","mpv","doctor",NA,43,"sick"
"19663","preventative care exam","4",2022-09-12 08:25:04,2022-09-12 08:55:24,"vacc and fecal","mpv","doctor",NA,30,"preventative care exam"
"19663","sick","11",2023-06-10 12:45:43,2023-06-10 13:25:59,"ag impaction","mpv","doctor",NA,40,"sick"
"7254-2","senior exam","4",2022-10-27 09:18:17,2022-10-27 10:08:11,NA,"mpv","doctor",NA,50,"senior exam"
"7254-6","senior exam","4",2022-10-27 09:18:29,2022-10-27 10:08:11,NA,"mpv","doctor",NA,50,"senior exam"
"31839","new pet","16",2023-03-20 17:27:29,2023-03-20 17:46:01,NA,"lvh","doctor",NA,19,"new pet"
"31839","preventative care exam","16",2023-04-10 18:17:30,2023-04-10 18:40:39,"last da2pp","lvh","doctor",NA,23,"preventative care exam"
"31839","recheck","16",2023-05-01 18:16:03,2023-05-01 18:35:31,"& 2nd lyme,2nd llepto,1 flu","lvh","doctor",NA,19,"recheck"
"31839","technician appointment","24",2023-05-31 18:19:00,2023-05-31 18:23:48,"2nd flu","lvh","tech_app",NA,5,"misc tech appointment"
"24036","drop off - admit","4",2023-06-19 09:59:52,2023-06-21 16:19:11,"post pets blocked","mpv","admit",NA,3259,NA
"24036","drop off - admit","24",2023-06-23 09:16:42,2023-06-23 09:59:28,"possibly blocked","mpv","admit",NA,43,NA
"24036","surgery","4",2023-06-26 08:40:36,2023-06-28 18:07:37,"pu","mpv","admit",NA,3447,NA
"24036","drop off - admit","4",2023-07-13 08:34:58,2023-07-13 12:59:03,"tank suture removal","mpv","admit",NA,264,NA
"28434","sick","6",2022-11-04 16:51:35,2022-11-04 17:30:17,"new pet","mpv","doctor",NA,39,"sick"
"28434","sick","4",2022-12-10 10:39:08,2022-12-10 11:16:40,NA,"mpv","doctor",NA,38,"sick"
"28435","sick","6",2023-02-10 10:06:59,2023-02-10 10:29:05,"vomit & diarrhea","mpv","doctor",NA,22,"sick"
"28435","sick","12",2023-03-21 14:48:07,2023-03-21 15:21:28,"vomiting/diarrhea","lvh","doctor",NA,33,"sick"
"28435","sick","16",2023-04-07 16:38:57,2023-04-07 17:51:25,NA,"mpv","doctor",NA,72,"sick"
"28435","recheck","16",2023-04-19 13:35:35,2023-04-19 14:08:36,"bw","mpv","doctor",NA,33,"recheck"
"28434","sick","12",2023-05-16 14:46:09,2023-05-16 15:21:54,"constipation","lvh","doctor",NA,36,"sick"
"28434","sick","tk",2023-05-16 15:40:38,2023-05-16 15:51:12,"constipation","mpv","doctor",NA,11,"sick"
"28434","drop off - admit","12",2023-06-28 14:09:27,2023-06-28 18:41:06,"collect cysto","mpv","admit",NA,272,NA
"29791","new client","11",2022-09-26 11:32:19,2022-09-26 12:10:44,NA,"mpv","doctor",NA,38,"new client"
"29791","sick","19",2022-10-08 11:19:45,2022-10-08 12:02:44,NA,"mpv","doctor",NA,43,"sick"
"29791","sick","11",2022-11-25 14:58:38,2022-11-25 15:22:59,"something on eye","mpv","doctor",NA,24,"sick"
"29791","surgery","4",2023-01-09 07:51:43,2023-01-09 19:03:14,"mass removal & oatw/ext","mpv","admit",NA,672,NA
"29791","sick","11",2023-01-18 13:30:54,2023-01-18 14:04:10,"vomiting/remove sutues","mpv","doctor",NA,33,"sick"
"29791","sick","19",2023-03-07 10:05:09,2023-03-07 10:35:51,"fell up stairs, limping","mpv","doctor",NA,31,"sick"
"25380","surgery","19",2022-08-30 08:24:41,2022-08-31 17:33:02,"canine castration","mpv","admit",NA,1988,NA
"13402","sick","16",2023-04-12 14:22:25,2023-04-12 14:58:08,NA,"mpv","doctor",NA,36,"sick"
"28104","exotic exam","16",2023-01-27 15:20:09,2023-01-27 16:19:11,"torn nail/sore/red","mpv","doctor",NA,59,"exotic exam"
"28104","tnt","tk",2023-02-17 17:12:43,2023-02-17 17:21:39,NA,"mpv","tech_app",NA,9,"tnt"
"28104","tnt","tk",2023-03-17 16:15:27,2023-03-17 16:23:15,NA,"mpv","tech_app",NA,8,"tnt"
"28104","exotic exam","16",2023-04-12 15:56:57,2023-04-12 16:20:04,"lump- noticed on sunday","mpv","doctor",NA,23,"exotic exam"
"28104","tnt","tk",2023-06-26 09:25:55,2023-06-26 09:35:43,NA,"mpv","tech_app",NA,10,"tnt"
"27417","preventative care exam","16",2023-07-29 09:06:43,2023-07-29 09:40:45,NA,"mpv","doctor",NA,34,"preventative care exam"
"26010","sick","16",2022-08-22 09:29:00,2022-08-22 09:54:34,"skin infection","lvh","doctor",NA,26,"sick"
"23105","technician appointment","19",2022-09-09 08:41:33,2022-09-09 08:49:44,NA,"lvh","tech_app",NA,8,"misc tech appointment"
"23105","tnt","12",2022-12-05 11:33:54,2022-12-05 11:46:04,NA,"lvh","tech_app",NA,12,"tnt"
"13860","senior exam","11",2023-03-14 14:33:11,2023-03-14 14:57:48,NA,"met","doctor",NA,25,"senior exam"
"32573","new client","11",2023-06-16 11:49:00,2023-06-16 12:29:08,"lethergic","met","doctor",NA,40,"new client"
"32573","sick","11",2023-07-12 12:56:11,2023-07-12 13:11:36,NA,"mpv","doctor",NA,15,"sick"
"6006","sick","11",2022-10-05 16:00:59,2022-10-05 18:59:28,"urinating out of lb","mpv","doctor",NA,178,"sick"
"22079","sick","6",2022-10-08 10:24:49,2022-10-08 10:42:36,"ear infection","met","doctor",NA,18,"sick"
"22079","recheck","6",2022-10-25 12:18:54,2022-10-25 12:43:00,"ears","mpv","doctor",NA,24,"recheck"
"22079","preventative care exam","16",2022-12-21 13:44:42,2022-12-21 14:17:56,NA,"mpv","doctor",NA,33,"preventative care exam"
"26337","preventative care exam","6",2022-12-15 11:27:41,2022-12-15 11:59:21,NA,"mpv","doctor",NA,32,"preventative care exam"
"26337","euthanasia","19",2022-12-22 17:01:43,2022-12-23 08:28:27,NA,"mpv","doctor",NA,927,NA
"25938","sick","6",2022-11-02 10:44:59,2022-11-02 11:10:45,NA,"mpv","doctor",NA,26,"sick"
"25938","sick","6",2023-02-17 16:41:32,2023-02-17 17:42:58,NA,"mpv","doctor",NA,61,"sick"
"25938","preventative care exam","6",2023-07-19 11:10:25,2023-07-19 11:41:08,NA,"mpv","doctor",NA,31,"preventative care exam"
"32416","new client","4",2023-06-27 09:33:58,2023-06-27 10:21:43,NA,"mpv","doctor",NA,48,"new client"
"32416","sick","6",2023-07-18 13:32:15,2023-07-18 14:05:24,"check skin, raw spots","mpv","doctor",NA,33,"sick"
"796","lab work","tk",2022-08-05 10:19:26,2022-08-05 10:32:59,NA,"mpv","tech_app",NA,14,"lab work"
"151","sick","6",2022-08-25 16:04:41,2022-08-25 16:44:11,NA,"mpv","doctor",NA,40,"sick"
"22851","sick","6",2022-12-09 14:03:45,2022-12-09 14:27:29,"eye issue. ag as well.","mpv","doctor",NA,24,"sick"
"17437","technician appointment","tk",2022-12-09 14:03:56,2022-12-09 14:31:58,"ag","mpv","tech_app",NA,28,"misc tech appointment"
"22851","senior exam","24",2023-03-16 13:27:03,2023-03-16 15:07:14,NA,"mpv","doctor",NA,100,"senior exam"
"17437","preventative care exam","24",2023-03-16 13:28:32,2023-03-16 15:07:14,NA,"mpv","doctor",NA,99,"preventative care exam"
"22851","recheck","24",2023-04-17 09:31:47,2023-04-17 10:57:55,"vx  cytopoint","mpv","doctor",NA,86,"recheck"
"17437","recheck","24",2023-04-17 09:32:03,2023-04-17 10:57:55,"vx","mpv","doctor",NA,86,"recheck"
